0,1,2,3,4,5,6,7,8,9,10
2 + 1,130,92,7,5,Merkezi (Pay Ölçer),14,Eşyalı Değil,Boş,Kağıthane,"14,000"
2 + 1,120,100,Bahçe Katı,1,Kombi,7,Eşyalı,"Kuzey, Güney, Doğu, Batı",Üsküdar,"15,100"
2 + 1,95,80,6,35,Merkezi,4,Eşyalı Değil,Boş,Kadıköy,"8,500"
3 + 1,140,120,4,11,Klima,5,Eşyalı,Mülk Sahibi,Kartal,"18,000"
3 + 1,145,140,4,27,Kombi,5,Eşyalı Değil,Boş,Kağıthane,"12,000"
1 + 1,90,85,Çatı Katı,6,Kombi,7,Eşyalı Değil,Boş,Beylikdüzü,"10,000"
2 + 1,90,85,1,40,Kombi,5,Eşyalı,Boş,Şişli,"12,000"
2 + 1,125,115,1,30,Merkezi,4,Eşyalı Değil,Boş,Beşiktaş,"22,500"
2 + 1,110,100,1,22,Kombi,4,Eşyalı Değil,Boş,Kağıthane,"9,000"
2 + 1,120,110,3,30,Merkezi,7,Eşyalı,"Kuzey, Güney, Doğu, Batı",Şişli,"38,000"
4 + 1,175,155,4,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Ümraniye,"12,500"
2 + 1,100,85,7,Sıfır Bina,Merkezi (Pay Ölçer),12,Eşyalı Değil,Boş,Gaziosmanpaşa,"15,000"
3 + 1,139,110,12,5,Kombi,16,Uygun değil,"Kuzey, Doğu",Ataşehir,"21,000"
3 + 1,163,140,4,14,Kombi,11,Eşyalı Değil,Boş,Küçükçekmece,"20,000"
2 + 1,70,65,3,28,Kombi,4,1,Doğalgaz,Kağıthane,"6,000"
2 + 1,120,110,5,8,Merkezi (Pay Ölçer),12,Eşyalı Değil,Mülk Sahibi,Kağıthane,"14,000"
2 + 1,236,225,Kot 2,31,Kombi,9,Eşyalı Değil,Boş,Şişli,"22,000"
3 + 2,160,150,5,Sıfır Bina,Klima,5,Eşyalı Değil,Boş,Bahçelievler,"9,000"
2 + 1,90,75,Yüksek Giriş,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Kartal,"7,800"
1 + 1,80,70,Bahçe Katı,30,Kombi,5,Eşyalı Değil,Kiracılı,Beşiktaş,"14,000"
3 + 1,165,145,Ara Kat,25,Kombi,5,Eşyalı Değil,Boş,Küçükçekmece,"11,500"
1 + 1,57,55,2,30,Kombi,6,Eşyalı,Kiracılı,Şişli,"12,950"
3 + 1,140,130,4,25,Kombi,5,Eşyalı Değil,Boş,Beşiktaş,"18,000"
2 + 1,110,90,5,45,Merkezi,7,Eşyalı,Mülk Sahibi,Beşiktaş,"22,500"
2 + 1,115,98,4,8,Merkezi (Pay Ölçer),10,Eşyalı,Mülk Sahibi,Sancaktepe,"12,000"
2 + 1,100,90,1,1,Kombi,4,Eşyalı,Kiracılı,Bakırköy,"22,000"
2 + 1,80,70,Bahçe Katı,5,Merkezi (Pay Ölçer),5,Eşyalı Değil,Boş,Sultanbeyli,"6,500"
2 + 1,90,80,Yüksek Giriş,9,Kombi,4,Eşyalı,Boş,Ataşehir,"9,750"
2 + 1,128,87,5,Sıfır Bina,Merkezi (Pay Ölçer),5,Uygun değil,"Güney, Doğu",Kağıthane,"21,000"
1 + 1,63,50,3,27,Merkezi,17,Eşyalı,Kiracılı,Küçükçekmece,"7,000"
3 + 1,160,140,Giriş Katı,8,Kombi,2,Eşyalı Değil,Boş,Sarıyer,"25,000"
2 + 1,144,120,4,42,Kombi,6,Eşyalı,950,Beyoğlu,"43,490"
4 + 2,170,150,4,4,Kombi,4,Eşyalı Değil,Boş,Üsküdar,"25,000"
